x ; log(x) 
374 ; 5.92426
375 ; 5.92693
376 ; 5.92959
377 ; 5.93225
378 ; 5.93489
379 ; 5.93754
380 ; 5.94017
381 ; 5.9428
382 ; 5.94542
383 ; 5.94803
384 ; 5.95064
385 ; 5.95324
386 ; 5.95584
387 ; 5.95842
388 ; 5.96101
389 ; 5.96358
390 ; 5.96615
391 ; 5.96871
392 ; 5.97126
393 ; 5.97381
394 ; 5.97635
395 ; 5.97889
396 ; 5.98141
397 ; 5.98394
398 ; 5.98645
399 ; 5.98896
400 ; 5.99146
401 ; 5.99396
402 ; 5.99645
403 ; 5.99894
404 ; 6.00141
405 ; 6.00389
406 ; 6.00635
407 ; 6.00881
408 ; 6.01127
409 ; 6.01372
410 ; 6.01616
411 ; 6.01859
412 ; 6.02102
413 ; 6.02345
414 ; 6.02587
415 ; 6.02828
416 ; 6.03069
417 ; 6.03309
418 ; 6.03548
419 ; 6.03787
420 ; 6.04025
421 ; 6.04263
422 ; 6.04501
423 ; 6.04737
424 ; 6.04973
425 ; 6.05209
426 ; 6.05444
427 ; 6.05678
428 ; 6.05912
429 ; 6.06146
430 ; 6.06379
431 ; 6.06611
432 ; 6.06843
433 ; 6.07074
434 ; 6.07304
435 ; 6.07535
436 ; 6.07764
437 ; 6.07993
438 ; 6.08222
439 ; 6.0845
440 ; 6.08677
441 ; 6.08904
442 ; 6.09131
443 ; 6.09357
444 ; 6.09582
445 ; 6.09807
446 ; 6.10032
447 ; 6.10256
448 ; 6.10479
449 ; 6.10702
450 ; 6.10925
451 ; 6.11147
452 ; 6.11368
453 ; 6.11589
454 ; 6.1181
455 ; 6.1203
456 ; 6.12249
457 ; 6.12468
458 ; 6.12687
459 ; 6.12905
460 ; 6.13123
461 ; 6.1334
462 ; 6.13556
463 ; 6.13773
464 ; 6.13988
465 ; 6.14204
466 ; 6.14419
467 ; 6.14633
468 ; 6.14847
469 ; 6.1506
470 ; 6.15273
471 ; 6.15486
472 ; 6.15698
473 ; 6.1591
474 ; 6.16121
475 ; 6.16331
476 ; 6.16542
477 ; 6.16752
478 ; 6.16961
479 ; 6.1717
480 ; 6.17379
481 ; 6.17587
482 ; 6.17794
483 ; 6.18002
484 ; 6.18208
485 ; 6.18415
486 ; 6.18621
487 ; 6.18826
488 ; 6.19032
489 ; 6.19236
490 ; 6.19441
491 ; 6.19644
492 ; 6.19848
493 ; 6.20051
494 ; 6.20254
495 ; 6.20456
496 ; 6.20658
497 ; 6.20859
498 ; 6.2106
499 ; 6.21261
500 ; 6.21461
501 ; 6.21661
502 ; 6.2186
503 ; 6.22059
504 ; 6.22258
505 ; 6.22456
506 ; 6.22654
507 ; 6.22851
508 ; 6.23048
509 ; 6.23245
510 ; 6.23441
511 ; 6.23637
512 ; 6.23832
513 ; 6.24028
514 ; 6.24222
515 ; 6.24417
516 ; 6.24611
517 ; 6.24804
518 ; 6.24998
519 ; 6.2519
520 ; 6.25383
521 ; 6.25575
522 ; 6.25767
523 ; 6.25958
524 ; 6.26149
525 ; 6.2634
526 ; 6.2653
527 ; 6.2672
528 ; 6.2691
529 ; 6.27099
530 ; 6.27288
531 ; 6.27476
532 ; 6.27664
533 ; 6.27852
534 ; 6.2804
535 ; 6.28227
536 ; 6.28413
537 ; 6.286
538 ; 6.28786
539 ; 6.28972
540 ; 6.29157
541 ; 6.29342
542 ; 6.29527
543 ; 6.29711
544 ; 6.29895
545 ; 6.30079
546 ; 6.30262
547 ; 6.30445
548 ; 6.30628
549 ; 6.3081
550 ; 6.30992
551 ; 6.31173
552 ; 6.31355
553 ; 6.31536
554 ; 6.31716
555 ; 6.31897
556 ; 6.32077
557 ; 6.32257
558 ; 6.32436
559 ; 6.32615
560 ; 6.32794
561 ; 6.32972
562 ; 6.3315
563 ; 6.33328
564 ; 6.33505
565 ; 6.33683
566 ; 6.33859
567 ; 6.34036
568 ; 6.34212
569 ; 6.34388
570 ; 6.34564
571 ; 6.34739
572 ; 6.34914
573 ; 6.35089
574 ; 6.35263
575 ; 6.35437
576 ; 6.35611
577 ; 6.35784
578 ; 6.35957
579 ; 6.3613
580 ; 6.36303
581 ; 6.36475
582 ; 6.36647
583 ; 6.36819
584 ; 6.3699
585 ; 6.37161
586 ; 6.37332
587 ; 6.37502
588 ; 6.37673
589 ; 6.37843
590 ; 6.38012
591 ; 6.38182
592 ; 6.38351
593 ; 6.38519
594 ; 6.38688
595 ; 6.38856
596 ; 6.39024
597 ; 6.39192
598 ; 6.39359
599 ; 6.39526
600 ; 6.39693
601 ; 6.39859
602 ; 6.40026
603 ; 6.40192
604 ; 6.40357
605 ; 6.40523
606 ; 6.40688
607 ; 6.40853
608 ; 6.41017
609 ; 6.41182
610 ; 6.41346
611 ; 6.4151
612 ; 6.41673
613 ; 6.41836
614 ; 6.41999
615 ; 6.42162
616 ; 6.42325
617 ; 6.42487
618 ; 6.42649
619 ; 6.42811
620 ; 6.42972
621 ; 6.43133
622 ; 6.43294
623 ; 6.43455
624 ; 6.43615
625 ; 6.43775
626 ; 6.43935
627 ; 6.44095
628 ; 6.44254
629 ; 6.44413
630 ; 6.44572
631 ; 6.44731
632 ; 6.44889
633 ; 6.45047
634 ; 6.45205
635 ; 6.45362
636 ; 6.4552
637 ; 6.45677
638 ; 6.45834
639 ; 6.4599
640 ; 6.46147
641 ; 6.46303
642 ; 6.46459
643 ; 6.46614
644 ; 6.4677
645 ; 6.46925
646 ; 6.4708
647 ; 6.47235
648 ; 6.47389
649 ; 6.47543
650 ; 6.47697
651 ; 6.47851
652 ; 6.48004
653 ; 6.48158
654 ; 6.48311
655 ; 6.48464
656 ; 6.48616
657 ; 6.48768
658 ; 6.4892
659 ; 6.49072
660 ; 6.49224
661 ; 6.49375
662 ; 6.49527
663 ; 6.49677
664 ; 6.49828
665 ; 6.49979
666 ; 6.50129
667 ; 6.50279
668 ; 6.50429
669 ; 6.50578
670 ; 6.50728
671 ; 6.50877
672 ; 6.51026
673 ; 6.51175
674 ; 6.51323
675 ; 6.51471
676 ; 6.51619
677 ; 6.51767
678 ; 6.51915
679 ; 6.52062
680 ; 6.52209
681 ; 6.52356
682 ; 6.52503
683 ; 6.52649
684 ; 6.52796
685 ; 6.52942
686 ; 6.53088
687 ; 6.53233
688 ; 6.53379
689 ; 6.53524
690 ; 6.53669
691 ; 6.53814
692 ; 6.53959
693 ; 6.54103
694 ; 6.54247
695 ; 6.54391
696 ; 6.54535
697 ; 6.54679
698 ; 6.54822
699 ; 6.54965
700 ; 6.55108
701 ; 6.55251
702 ; 6.55393
703 ; 6.55536
704 ; 6.55678
705 ; 6.5582
706 ; 6.55962
707 ; 6.56103
708 ; 6.56244
709 ; 6.56386
710 ; 6.56526
711 ; 6.56667
712 ; 6.56808
713 ; 6.56948
714 ; 6.57088
715 ; 6.57228
716 ; 6.57368
717 ; 6.57508
718 ; 6.57647
719 ; 6.57786
720 ; 6.57925
721 ; 6.58064
722 ; 6.58203
723 ; 6.58341
724 ; 6.58479
725 ; 6.58617
726 ; 6.58755
727 ; 6.58893
728 ; 6.5903
729 ; 6.59167
730 ; 6.59304
731 ; 6.59441
732 ; 6.59578
733 ; 6.59715
734 ; 6.59851
735 ; 6.59987
736 ; 6.60123
737 ; 6.60259
738 ; 6.60394
739 ; 6.6053
740 ; 6.60665
741 ; 6.608
742 ; 6.60935
743 ; 6.6107
744 ; 6.61204
745 ; 6.61338
746 ; 6.61473
747 ; 6.61607
748 ; 6.6174
749 ; 6.61874
750 ; 6.62007
751 ; 6.62141
752 ; 6.62274
753 ; 6.62407
754 ; 6.62539
755 ; 6.62672
756 ; 6.62804
757 ; 6.62936
758 ; 6.63068
759 ; 6.632
760 ; 6.63332
761 ; 6.63463
762 ; 6.63595
763 ; 6.63726
764 ; 6.63857
765 ; 6.63988
766 ; 6.64118
767 ; 6.64249
768 ; 6.64379
769 ; 6.64509
770 ; 6.64639
771 ; 6.64769
772 ; 6.64898
773 ; 6.65028
774 ; 6.65157
775 ; 6.65286
776 ; 6.65415
777 ; 6.65544
778 ; 6.65673
779 ; 6.65801
780 ; 6.65929
781 ; 6.66058
782 ; 6.66185
783 ; 6.66313
784 ; 6.66441
785 ; 6.66568
786 ; 6.66696
787 ; 6.66823
788 ; 6.6695
789 ; 6.67077
790 ; 6.67203
791 ; 6.6733
792 ; 6.67456
793 ; 6.67582
794 ; 6.67708
795 ; 6.67834
796 ; 6.6796
797 ; 6.68085
798 ; 6.68211
799 ; 6.68336
800 ; 6.68461
801 ; 6.68586
802 ; 6.68711
803 ; 6.68835
804 ; 6.6896
805 ; 6.69084
806 ; 6.69208
807 ; 6.69332
808 ; 6.69456
809 ; 6.6958
810 ; 6.69703
811 ; 6.69827
812 ; 6.6995
813 ; 6.70073
814 ; 6.70196
815 ; 6.70319
816 ; 6.70441
817 ; 6.70564
818 ; 6.70686
819 ; 6.70808
820 ; 6.7093
821 ; 6.71052
822 ; 6.71174
823 ; 6.71296
824 ; 6.71417
825 ; 6.71538
826 ; 6.71659
827 ; 6.7178
828 ; 6.71901
829 ; 6.72022
830 ; 6.72143
831 ; 6.72263
832 ; 6.72383
833 ; 6.72503
834 ; 6.72623
835 ; 6.72743
836 ; 6.72863
837 ; 6.72982
838 ; 6.73102
839 ; 6.73221
840 ; 6.7334
841 ; 6.73459
842 ; 6.73578
843 ; 6.73697
844 ; 6.73815
845 ; 6.73934
846 ; 6.74052
847 ; 6.7417
848 ; 6.74288
849 ; 6.74406
850 ; 6.74524
851 ; 6.74641
852 ; 6.74759
853 ; 6.74876
854 ; 6.74993
855 ; 6.7511
856 ; 6.75227
857 ; 6.75344
858 ; 6.7546
859 ; 6.75577
860 ; 6.75693
861 ; 6.75809
862 ; 6.75926
863 ; 6.76041
864 ; 6.76157
865 ; 6.76273
866 ; 6.76388
867 ; 6.76504
868 ; 6.76619
869 ; 6.76734
870 ; 6.76849
871 ; 6.76964
872 ; 6.77079
873 ; 6.77194
874 ; 6.77308
875 ; 6.77422
876 ; 6.77537
877 ; 6.77651
878 ; 6.77765
879 ; 6.77878
880 ; 6.77992
881 ; 6.78106
882 ; 6.78219
883 ; 6.78333
884 ; 6.78446
885 ; 6.78559
886 ; 6.78672
887 ; 6.78784
888 ; 6.78897
889 ; 6.7901
890 ; 6.79122
891 ; 6.79234
892 ; 6.79347
893 ; 6.79459
894 ; 6.79571
895 ; 6.79682
896 ; 6.79794
897 ; 6.79906
898 ; 6.80017
899 ; 6.80128
900 ; 6.80239
901 ; 6.80351
902 ; 6.80461
903 ; 6.80572
904 ; 6.80683
905 ; 6.80793
906 ; 6.80904
907 ; 6.81014
908 ; 6.81124
909 ; 6.81235
910 ; 6.81344
911 ; 6.81454
912 ; 6.81564
913 ; 6.81674
914 ; 6.81783
915 ; 6.81892
916 ; 6.82002
917 ; 6.82111
918 ; 6.8222
919 ; 6.82329
920 ; 6.82437
921 ; 6.82546
922 ; 6.82655
923 ; 6.82763
924 ; 6.82871
925 ; 6.82979
926 ; 6.83087
927 ; 6.83195
928 ; 6.83303
929 ; 6.83411
930 ; 6.83518
931 ; 6.83626
932 ; 6.83733
933 ; 6.83841
934 ; 6.83948
935 ; 6.84055
936 ; 6.84162
937 ; 6.84268
938 ; 6.84375
939 ; 6.84482
940 ; 6.84588
941 ; 6.84694
942 ; 6.84801
943 ; 6.84907
944 ; 6.85013
945 ; 6.85118
946 ; 6.85224
947 ; 6.8533
948 ; 6.85435
949 ; 6.85541
950 ; 6.85646
951 ; 6.85751
952 ; 6.85857
953 ; 6.85961
954 ; 6.86066
955 ; 6.86171
956 ; 6.86276
957 ; 6.8638
958 ; 6.86485
959 ; 6.86589
960 ; 6.86693
961 ; 6.86797
962 ; 6.86901
963 ; 6.87005
964 ; 6.87109
965 ; 6.87213
966 ; 6.87316
967 ; 6.8742
968 ; 6.87523
969 ; 6.87626
970 ; 6.8773
971 ; 6.87833
972 ; 6.87936
973 ; 6.88038
974 ; 6.88141
975 ; 6.88244
976 ; 6.88346
977 ; 6.88449
978 ; 6.88551
979 ; 6.88653
980 ; 6.88755
981 ; 6.88857
982 ; 6.88959
983 ; 6.89061
984 ; 6.89163
985 ; 6.89264
986 ; 6.89366
987 ; 6.89467
988 ; 6.89568
989 ; 6.89669
990 ; 6.8977
991 ; 6.89871
992 ; 6.89972
993 ; 6.90073
994 ; 6.90174
995 ; 6.90274
996 ; 6.90375
997 ; 6.90475
998 ; 6.90575
999 ; 6.90675
